;movie_code;duration;facenumber_in_poster;country;budget;gross;num_voted_users;num_user_for_reviews;num_critic_for_reviews;movie_facebook_likes;director_facebook_likes;actor_1_facebook_likes;actor_2_facebook_likes;actor_3_facebook_likes;cast_total_facebook_likes;imdb_score;imdb_score_class
2987;2988;110.0;0.0;South Korea;12215500000.0;2201412.0;68883;279.0;363.0;7000;584.0;629.0;398.0;74.0;1173;7.0;Good
3929;3930;101.0;0.0;UK;4000000.0;864959.0;20275;151.0;116.0;0;21.0;420.0;291.0;161.0;1215;6.9;Good
3555;3556;112.0;2.0;USA;6000000.0;57504069.0;94139;183.0;64.0;0;309.0;27.0;26.0;15.0;106;7.8;Good
4749;4750;84.0;0.0;USA;500000.0;52850.0;1656;12.0;35.0;155;681.0;239.0;172.0;143.0;734;6.2;Good
638;639;157.0;1.0;USA;68000000.0;28965197.0;133526;521.0;209.0;0;0.0;14000.0;826.0;680.0;18216;7.9;Good
1748;1749;118.0;2.0;USA;28000000.0;179870271.0;329969;524.0;148.0;0;14000.0;11000.0;429.0;237.0;11898;7.6;Good
3615;3616;96.0;0.0;Ireland;6000000.0;5359774.0;64794;131.0;261.0;17000;51.0;3000.0;482.0;28.0;3569;7.3;Good
265;266;105.0;3.0;USA;105000000.0;71017784.0;27257;59.0;125.0;0;67.0;681.0;71.0;40.0;914;5.4;Fair
338;339;192.0;2.0;USA;94000000.0;377019252.0;1215718;3189.0;328.0;16000;0.0;5000.0;857.0;416.0;6434;8.9;Excellent
3193;3194;135.0;0.0;UK;10000000.0;3041803.0;6377;181.0;96.0;345;25.0;902.0;576.0;553.0;2735;7.1;Good
4091;4092;90.0;0.0;USA;;4033268.0;9808;53.0;133.0;0;132.0;1000.0;864.0;547.0;3692;6.6;Good
1150;1151;154.0;0.0;USA;42000000.0;158348400.0;88844;142.0;56.0;0;521.0;10000.0;1000.0;957.0;14244;6.8;Good
1084;1085;122.0;2.0;USA;45000000.0;76261036.0;305929;633.0;109.0;0;845.0;18000.0;881.0;854.0;22370;7.7;Good
985;986;108.0;1.0;UK;40000000.0;40203020.0;74315;259.0;143.0;0;17.0;14000.0;1000.0;186.0;15634;5.9;Fair
1252;1253;95.0;4.0;USA;;50562555.0;81334;291.0;175.0;0;30.0;799.0;690.0;664.0;2787;6.5;Good
3830;3831;90.0;1.0;Denmark;4800000.0;778565.0;83234;475.0;440.0;30000;0.0;33000.0;1000.0;428.0;34779;5.7;Fair
281;282;127.0;1.0;USA;90000000.0;101643008.0;218341;498.0;175.0;0;57.0;12000.0;11000.0;3000.0;29069;6.5;Good
2694;2695;124.0;0.0;USA;15000000.0;10763469.0;13692;55.0;42.0;877;11000.0;11000.0;860.0;563.0;12685;6.4;Good
971;972;105.0;1.0;USA;50000000.0;48745150.0;50170;306.0;171.0;773;12.0;87000.0;11000.0;935.0;101383;5.8;Fair
831;832;131.0;2.0;UK;57000000.0;25528495.0;28099;220.0;96.0;0;108.0;23000.0;243.0;58.0;23325;5.9;Fair
924;925;93.0;0.0;USA;;35092918.0;15740;110.0;71.0;1000;14.0;2000.0;1000.0;728.0;5468;4.9;Fair
2812;2813;132.0;2.0;France;103000000.0;274299.0;11077;55.0;69.0;0;333.0;380.0;326.0;284.0;1429;7.3;Good
4199;4200;112.0;0.0;USA;2500000.0;173783.0;578;34.0;14.0;588;9.0;860.0;130.0;125.0;1252;7.6;Good
2848;2849;120.0;0.0;USA;13000000.0;23947.0;357579;1100.0;185.0;15000;19.0;8000.0;902.0;829.0;12755;7.7;Good
4664;4665;95.0;2.0;USA;850000.0;;59;1.0;5.0;18;0.0;940.0;188.0;167.0;1484;7.4;Good
0;1;178.0;0.0;USA;237000000.0;760505847.0;886204;3054.0;723.0;33000;0.0;1000.0;936.0;855.0;4834;7.9;Good
1147;1148;103.0;1.0;USA;43000000.0;37035515.0;34597;194.0;116.0;0;84.0;12000.0;10000.0;664.0;23864;6.0;Fair
4709;4710;106.0;1.0;USA;600000.0;171988.0;448;16.0;15.0;12;16.0;602.0;266.0;254.0;1281;5.6;Fair
2671;2672;90.0;2.0;USA;15000000.0;19158074.0;17983;127.0;69.0;0;13.0;882.0;874.0;613.0;2661;6.7;Good
4467;4468;135.0;1.0;Kyrgyzstan;1400000.0;;3144;24.0;16.0;0;135.0;0.0;0.0;0.0;0;8.7;Excellent
1700;1701;100.0;0.0;USA;30000000.0;11900000.0;11003;148.0;62.0;654;277.0;21000.0;767.0;210.0;22006;5.5;Fair
1166;1167;100.0;2.0;USA;42000000.0;37652565.0;91151;283.0;291.0;20000;308.0;10000.0;2000.0;913.0;15369;5.4;Fair
1843;1844;85.0;0.0;USA;26000000.0;57859105.0;94108;673.0;224.0;0;0.0;332.0;285.0;178.0;1090;6.5;Good
1997;1998;92.0;2.0;USA;25000000.0;1550000.0;30628;471.0;143.0;937;892.0;783.0;595.0;492.0;2930;2.9;Bad
3755;3756;96.0;6.0;USA;5000000.0;9658370.0;1180;9.0;12.0;740;23.0;927.0;509.0;503.0;3552;4.5;Fair
869;870;95.0;0.0;UK;55000000.0;76137505.0;49207;174.0;224.0;30000;17.0;838.0;722.0;594.0;3697;7.2;Good
3236;3237;90.0;1.0;USA;5000000.0;92900.0;3662;23.0;43.0;546;8.0;1000.0;893.0;495.0;3146;4.7;Fair
4159;4160;144.0;0.0;India;120000000.0;;27569;106.0;15.0;349;124.0;464.0;426.0;327.0;1761;8.2;Excellent
964;965;113.0;0.0;USA;50000000.0;54997476.0;40362;248.0;113.0;970;39.0;1000.0;912.0;477.0;3341;6.3;Good
260;261;102.0;0.0;USA;110000000.0;106369117.0;225273;523.0;366.0;71000;263.0;6000.0;1000.0;1000.0;10583;6.2;Good
1520;1521;105.0;5.0;USA;35000000.0;13101142.0;23916;50.0;135.0;0;125.0;18000.0;2000.0;2000.0;23122;5.7;Fair
2503;2504;129.0;0.0;USA;17000000.0;44469602.0;23480;83.0;113.0;21000;51.0;427.0;234.0;89.0;952;7.4;Good
4546;4547;89.0;1.0;USA;1000000.0;;2636;36.0;39.0;365;0.0;356.0;110.0;102.0;831;6.2;Good
4939;4940;80.0;0.0;USA;150000.0;5858.0;260;2.0;18.0;116;0.0;0.0;0.0;0.0;0;7.1;Good
4080;4081;99.0;0.0;USA;3000000.0;7059537.0;8279;101.0;37.0;837;18.0;939.0;407.0;233.0;2321;3.0;Bad
1662;1663;118.0;0.0;USA;30000000.0;34703228.0;21767;127.0;101.0;0;3.0;1000.0;712.0;439.0;3797;6.7;Good
2125;2126;116.0;0.0;USA;22000000.0;11326836.0;83171;231.0;288.0;17000;108.0;23000.0;820.0;120.0;24134;6.8;Good
3671;3672;90.0;1.0;USA;3000000.0;24475193.0;190494;314.0;364.0;33000;23000.0;23000.0;19000.0;694.0;44265;6.6;Good
4523;4524;89.0;1.0;USA;1100000.0;;737;15.0;17.0;444;252.0;1000.0;745.0;252.0;2510;3.0;Bad
2063;2064;88.0;4.0;USA;23000000.0;13019253.0;3914;47.0;53.0;153;12.0;327.0;281.0;249.0;1509;5.6;Fair
4988;4989;;0.0;USA;;;128;3.0;;2;0.0;1000.0;36.0;15.0;1077;4.7;Fair
2165;2166;105.0;0.0;USA;20000000.0;80050171.0;186984;491.0;253.0;0;154.0;884.0;617.0;501.0;2287;6.9;Good
3190;3191;100.0;1.0;UK;11500000.0;3275585.0;10735;88.0;30.0;561;34.0;10000.0;721.0;541.0;13160;6.6;Good
2211;2212;128.0;1.0;USA;20000000.0;31838002.0;136673;281.0;324.0;10000;835.0;11000.0;896.0;755.0;13189;7.6;Good
574;575;87.0;0.0;USA;75000000.0;183132370.0;259083;763.0;299.0;0;30.0;745.0;440.0;433.0;3086;7.4;Good
351;352;98.0;0.0;USA;90000000.0;250147615.0;403014;289.0;175.0;0;188.0;10000.0;826.0;602.0;12998;7.3;Good
4695;4696;106.0;2.0;USA;700000.0;2694973.0;70885;189.0;208.0;0;31.0;33000.0;519.0;71.0;33734;7.2;Good
1992;1993;127.0;1.0;New Zealand;25000000.0;5128124.0;44198;251.0;126.0;11000;79.0;12000.0;506.0;50.0;12574;7.9;Good
3668;3669;125.0;0.0;UK;5500000.0;58800000.0;40511;213.0;90.0;0;46.0;368.0;303.0;249.0;1651;7.2;Good
2382;2383;116.0;2.0;France;19000000.0;1292527.0;3536;44.0;31.0;228;500.0;12000.0;1000.0;530.0;14579;6.3;Good
294;295;115.0;1.0;USA;100000000.0;101228120.0;84424;131.0;81.0;0;55.0;1000.0;773.0;383.0;3454;6.1;Good
1572;1573;143.0;1.0;USA;6500000.0;82528097.0;30230;154.0;42.0;0;65.0;975.0;345.0;320.0;2223;7.3;Good
4543;4544;103.0;2.0;USA;1000000.0;9013113.0;36321;230.0;169.0;0;2.0;2000.0;508.0;226.0;3192;7.4;Good
1693;1694;130.0;0.0;USA;30000000.0;15709385.0;53053;132.0;154.0;0;149.0;1000.0;807.0;798.0;5101;6.7;Good
1491;1492;109.0;3.0;USA;35000000.0;10499968.0;47498;212.0;233.0;10000;453.0;1000.0;206.0;120.0;1458;5.7;Fair
4663;4664;110.0;1.0;Germany;;9950.0;7431;84.0;71.0;926;21.0;426.0;20.0;3.0;455;8.0;Good
3545;3546;125.0;1.0;Germany;15000000.0;927107.0;5153;51.0;63.0;687;4.0;177.0;66.0;36.0;333;7.3;Good
4850;4851;90.0;0.0;USA;270000.0;318622.0;24668;175.0;286.0;0;25.0;601.0;260.0;235.0;1734;6.4;Good
5020;5021;85.0;0.0;USA;15000.0;192467.0;4067;71.0;51.0;297;157.0;830.0;224.0;10.0;1064;6.6;Good
2277;2278;102.0;1.0;USA;22000000.0;12469811.0;69172;316.0;156.0;0;563.0;12000.0;442.0;385.0;13156;6.6;Good
393;394;113.0;0.0;USA;92000000.0;241688385.0;144053;395.0;114.0;0;101.0;22000.0;946.0;848.0;26239;6.3;Good
2526;2527;160.0;6.0;France;17000000.0;273420.0;32671;238.0;173.0;0;219.0;1000.0;876.0;215.0;2340;5.5;Fair
2468;2469;87.0;1.0;USA;3500000.0;;49669;419.0;184.0;3000;0.0;1000.0;177.0;83.0;1592;7.2;Good
2869;2870;88.0;0.0;Sweden;;;335;;;22;76.0;690.0;94.0;75.0;998;8.1;Excellent
163;164;121.0;0.0;USA;135000000.0;31704416.0;45455;388.0;145.0;0;357.0;820.0;780.0;653.0;2705;5.0;Fair
4404;4405;91.0;1.0;USA;1500000.0;7417210.0;59041;408.0;71.0;0;184.0;3000.0;202.0;82.0;3310;7.0;Good
3052;3053;100.0;0.0;USA;11000000.0;13103828.0;59982;463.0;161.0;5000;0.0;11000.0;472.0;303.0;12237;7.3;Good
3121;3122;101.0;0.0;USA;10000000.0;29500000.0;25613;121.0;78.0;0;287.0;745.0;730.0;257.0;1954;6.5;Good
1218;1219;123.0;0.0;USA;34000000.0;66808615.0;87351;344.0;125.0;2000;563.0;24000.0;11000.0;8000.0;43917;6.1;Good
2456;2457;108.0;2.0;USA;18000000.0;3203044.0;25165;155.0;128.0;827;11000.0;11000.0;944.0;922.0;14843;6.4;Good
4390;4391;84.0;0.0;USA;2000000.0;6026908.0;536;13.0;16.0;43;11.0;489.0;469.0;249.0;2196;4.3;Fair
1725;1726;129.0;1.0;USA;30000000.0;537580.0;52972;124.0;134.0;21000;395.0;18000.0;1000.0;313.0;19620;6.8;Good
4798;4799;88.0;3.0;USA;218.0;592014.0;5709;114.0;72.0;754;20.0;58.0;20.0;0.0;78;7.2;Good
1143;1144;325.0;0.0;USA;44000000.0;1500000.0;9830;189.0;102.0;1000;517.0;12000.0;849.0;678.0;14255;6.8;Good
5008;5009;65.0;1.0;USA;27000.0;8231.0;803;16.0;8.0;85;0.0;0.0;0.0;;0;6.7;Good
2870;2871;99.0;3.0;USA;13000000.0;5871603.0;3116;39.0;39.0;251;7.0;3000.0;1000.0;730.0;6485;6.0;Fair
3896;3897;105.0;2.0;USA;4000000.0;;9007;50.0;34.0;661;0.0;597.0;222.0;116.0;1218;7.3;Good
154;155;133.0;3.0;USA;145000000.0;209364921.0;365104;512.0;432.0;35000;663.0;10000.0;10000.0;690.0;21768;7.4;Good
4469;4470;87.0;1.0;USA;1000000.0;19539.0;4182;53.0;35.0;3000;4.0;2000.0;1000.0;624.0;6227;6.2;Good
4899;4900;101.0;7.0;USA;200000.0;2428241.0;2099;26.0;25.0;0;0.0;77000.0;21.0;16.0;77046;6.4;Good
226;227;124.0;0.0;USA;130000000.0;126464904.0;456260;2326.0;775.0;97000;0.0;13000.0;9000.0;641.0;24098;7.0;Good
4691;4692;104.0;;USA;1000000.0;;1354;17.0;23.0;523;0.0;601.0;524.0;195.0;1581;6.3;Good
1841;1842;22.0;5.0;USA;;;133415;151.0;79.0;0;;813.0;547.0;424.0;1784;8.8;Excellent
3300;3301;79.0;3.0;USA;8000000.0;4350774.0;10476;52.0;15.0;0;157.0;4000.0;248.0;219.0;4908;6.5;Good
1497;1498;117.0;1.0;USA;35000000.0;7458269.0;70698;196.0;147.0;9000;0.0;883.0;883.0;567.0;3611;6.9;Good
3994;3995;116.0;0.0;UK;2000000.0;;30982;199.0;110.0;0;13000.0;195.0;146.0;118.0;771;7.5;Good
4017;4018;100.0;0.0;USA;3500000.0;29233.0;75;2.0;6.0;121;117.0;21.0;3.0;0.0;24;7.0;Good
4650;4651;78.0;1.0;France;900000.0;;19;2.0;2.0;24;0.0;0.0;0.0;0.0;0;6.7;Good
1314;1315;91.0;8.0;USA;40000000.0;18438149.0;30842;93.0;70.0;0;48.0;61.0;46.0;39.0;222;5.9;Fair
796;797;140.0;1.0;UK;60000000.0;13082288.0;35565;247.0;123.0;2000;23.0;11000.0;779.0;579.0;12634;6.6;Good
910;911;141.0;0.0;USA;52000000.0;164435221.0;525801;667.0;194.0;15000;14000.0;29000.0;15000.0;3000.0;48153;8.0;Good
2318;2319;135.0;0.0;USA;20000000.0;4001121.0;48346;230.0;231.0;0;162.0;23000.0;13000.0;228.0;36398;7.0;Good
3;4;164.0;0.0;USA;250000000.0;448130642.0;1144337;2701.0;813.0;164000;22000.0;27000.0;23000.0;23000.0;106759;8.5;Excellent
962;963;78.0;0.0;USA;50000000.0;58336565.0;12845;118.0;87.0;624;5.0;8000.0;2000.0;1000.0;11124;6.6;Good
841;842;118.0;1.0;USA;70000000.0;177575142.0;244840;372.0;171.0;0;72.0;10000.0;975.0;681.0;13426;6.6;Good
4840;4841;90.0;0.0;USA;350000.0;;476;18.0;8.0;53;0.0;502.0;119.0;32.0;689;3.2;Bad
4545;4546;109.0;8.0;USA;900000.0;9000000.0;7584;137.0;101.0;0;199.0;503.0;46.0;44.0;731;6.2;Good
4676;4677;86.0;0.0;USA;750000.0;4007792.0;101287;260.0;271.0;31000;365.0;934.0;830.0;522.0;2714;7.0;Good
626;627;116.0;1.0;UK;70000000.0;5851188.0;31124;313.0;159.0;764;105.0;844.0;729.0;246.0;1899;4.2;Fair
1574;1575;161.0;0.0;USA;31000000.0;87100000.0;52339;200.0;66.0;0;521.0;11000.0;920.0;184.0;12518;7.2;Good
52;53;154.0;2.0;USA;195000000.0;352358779.0;326180;899.0;428.0;46000;0.0;894.0;829.0;581.0;2593;6.3;Good
3096;3097;96.0;0.0;USA;10000000.0;63270259.0;111087;319.0;190.0;0;163.0;723.0;651.0;448.0;3492;5.9;Fair
4970;4971;114.0;0.0;USA;15000000.0;32721635.0;67824;279.0;241.0;0;29.0;956.0;878.0;616.0;3861;6.6;Good
1148;1149;103.0;1.0;France;45000000.0;24520892.0;85198;303.0;177.0;0;255.0;11000.0;5000.0;5000.0;22383;7.0;Good
1580;1581;118.0;0.0;USA;31000000.0;44983704.0;81866;510.0;168.0;0;40.0;2000.0;702.0;617.0;4045;7.3;Good
4089;4090;82.0;1.0;USA;3000000.0;4142507.0;3665;81.0;48.0;131;0.0;472.0;324.0;51.0;858;4.4;Fair
1988;1989;111.0;2.0;USA;25000000.0;56692.0;177401;504.0;355.0;32000;214.0;10000.0;9000.0;3000.0;23566;7.3;Good
3166;3167;95.0;3.0;USA;10000000.0;8460995.0;35888;125.0;163.0;0;434.0;1000.0;622.0;472.0;2618;5.5;Fair
5033;5034;80.0;0.0;Philippines;7000.0;70071.0;589;35.0;35.0;74;0.0;0.0;0.0;0.0;0;6.3;Good
4579;4580;124.0;6.0;Germany;;621240.0;4999;32.0;100.0;0;13.0;20.0;13.0;7.0;42;7.4;Good
2034;2035;95.0;1.0;USA;24000000.0;16964743.0;22844;140.0;84.0;876;126.0;2000.0;989.0;886.0;4681;5.6;Fair
459;460;123.0;6.0;USA;75000000.0;101087161.0;225282;339.0;139.0;0;165.0;12000.0;878.0;744.0;15362;6.8;Good
1795;1796;133.0;2.0;USA;30000000.0;148734225.0;298590;559.0;251.0;0;0.0;11000.0;985.0;529.0;12874;7.0;Good
2942;2943;89.0;0.0;USA;12000000.0;27281507.0;33850;147.0;75.0;0;53.0;227.0;94.0;84.0;534;7.7;Good
2921;2922;102.0;0.0;USA;12000000.0;75074950.0;22147;156.0;91.0;770;167.0;656.0;528.0;436.0;2754;6.3;Good
4787;4788;98.0;1.0;USA;225000.0;2938208.0;7143;52.0;71.0;865;89.0;88.0;74.0;3.0;173;7.5;Good
4038;4039;128.0;7.0;France;;3766595.0;29248;86.0;212.0;0;39.0;15.0;2.0;0.0;17;7.5;Good
3665;3666;85.0;0.0;Spain;5600000.0;27024.0;55597;148.0;222.0;4000;57.0;37.0;9.0;6.0;73;6.6;Good
1678;1679;105.0;1.0;USA;35000000.0;20422207.0;15052;116.0;73.0;484;34.0;1000.0;681.0;642.0;4369;5.2;Fair
2649;2650;106.0;0.0;USA;125000000.0;163192114.0;229687;637.0;344.0;15000;255.0;14000.0;1000.0;850.0;18003;5.8;Fair
3491;3492;95.0;1.0;USA;7000000.0;14003141.0;4598;29.0;28.0;375;48.0;1000.0;865.0;826.0;4837;6.1;Good
1332;1333;87.0;0.0;USA;39000000.0;35287788.0;73886;165.0;370.0;25000;13000.0;940.0;925.0;787.0;4774;7.0;Good
2080;2081;127.0;0.0;USA;22000000.0;217631306.0;154199;252.0;77.0;0;109.0;2000.0;956.0;71.0;3100;7.0;Good
4768;4769;93.0;1.0;USA;12000000.0;37188667.0;34219;578.0;111.0;0;33.0;1000.0;188.0;135.0;1531;3.3;Bad
3720;3721;94.0;0.0;USA;5000000.0;19281235.0;3571;11.0;12.0;232;0.0;901.0;413.0;287.0;2523;5.1;Fair
569;570;110.0;1.0;USA;70000000.0;47456450.0;101386;289.0;234.0;0;532.0;3000.0;638.0;461.0;5187;7.1;Good
3111;3112;97.0;0.0;USA;10000000.0;35794166.0;35654;155.0;159.0;20000;19.0;4000.0;334.0;130.0;4687;6.0;Fair
3328;3329;23.0;0.0;USA;;;28190;73.0;47.0;2000;;668.0;296.0;265.0;1484;7.9;Good
1171;1172;91.0;1.0;USA;40000000.0;26404753.0;34203;169.0;127.0;19000;30.0;922.0;786.0;497.0;3301;5.3;Fair
2141;2142;104.0;1.0;USA;21000000.0;17757087.0;13065;253.0;85.0;897;52.0;711.0;490.0;484.0;3162;4.6;Fair
4261;4262;119.0;8.0;USA;1614000.0;;2269;34.0;12.0;236;6.0;1000.0;760.0;380.0;2555;7.1;Good
3280;3281;130.0;1.0;UK;9000000.0;63600000.0;82073;275.0;129.0;0;92.0;244.0;189.0;177.0;1164;7.0;Good
4710;4711;103.0;4.0;USA;600000.0;23616.0;94;4.0;;11;0.0;23.0;20.0;20.0;85;5.6;Fair
2657;2658;106.0;5.0;USA;14000000.0;32645546.0;8427;88.0;96.0;1000;61.0;907.0;807.0;649.0;3462;6.4;Good
2098;2099;110.0;2.0;USA;40000000.0;5773519.0;28621;91.0;159.0;11000;118.0;11000.0;1000.0;287.0;12876;6.0;Fair
1906;1907;98.0;2.0;USA;25000000.0;44455658.0;36253;92.0;49.0;0;176.0;742.0;658.0;468.0;2457;6.7;Good
3710;3711;127.0;0.0;USA;5000000.0;;22123;108.0;69.0;0;130.0;617.0;53.0;51.0;799;7.2;Good
412;413;139.0;2.0;USA;85000000.0;150832203.0;341058;713.0;459.0;49000;168.0;14000.0;5000.0;1000.0;22226;6.7;Good
835;836;142.0;0.0;USA;55000000.0;329691196.0;1251222;1398.0;149.0;59000;0.0;15000.0;294.0;194.0;15700;8.8;Excellent
240;241;98.0;3.0;USA;135000000.0;187165546.0;150618;195.0;257.0;28000;16.0;16000.0;15000.0;12000.0;43286;7.3;Good
994;995;117.0;1.0;USA;40000000.0;32800000.0;34896;118.0;51.0;877;31.0;2000.0;472.0;210.0;3016;4.3;Fair
1663;1664;28.0;2.0;USA;;;135643;145.0;52.0;0;;680.0;638.0;576.0;2867;8.5;Excellent
2171;2172;117.0;0.0;USA;20000000.0;67325559.0;58222;331.0;106.0;0;99.0;596.0;265.0;165.0;1293;7.1;Good
4942;4943;89.0;0.0;USA;125000.0;;100;3.0;3.0;72;0.0;196.0;180.0;163.0;942;7.2;Good
210;211;132.0;3.0;USA;125000000.0;209805005.0;284792;366.0;342.0;54000;681.0;23000.0;14000.0;12000.0;55345;7.3;Good
1555;1556;142.0;5.0;USA;35000000.0;;25193;217.0;56.0;2000;14000.0;16000.0;1000.0;642.0;20201;5.9;Fair
858;859;97.0;1.0;USA;55000000.0;63408614.0;75365;149.0;45.0;0;96.0;13000.0;549.0;403.0;14432;6.3;Good
3060;3061;94.0;3.0;UK;11000000.0;3034181.0;13622;128.0;70.0;550;18.0;658.0;463.0;183.0;1559;5.4;Fair
610;611;136.0;1.0;USA;70000000.0;37901509.0;96385;119.0;76.0;0;218.0;11000.0;691.0;400.0;12226;7.0;Good
1730;1731;85.0;1.0;Russia;30000000.0;;393;7.0;5.0;161;0.0;114.0;35.0;21.0;229;4.1;Fair
4104;4105;120.0;0.0;South Korea;3000000.0;2181290.0;356181;809.0;305.0;43000;0.0;717.0;78.0;38.0;852;8.4;Excellent
2761;2762;120.0;0.0;UK;15000000.0;141319195.0;641997;1017.0;418.0;13000;0.0;668.0;56.0;40.0;820;8.0;Good
1327;1328;98.0;0.0;USA;23000000.0;50693162.0;136580;545.0;118.0;15000;295.0;720.0;581.0;380.0;2630;7.6;Good
1339;1340;96.0;2.0;USA;38000000.0;88915214.0;163665;169.0;174.0;9000;126.0;18000.0;957.0;954.0;22436;6.5;Good
1583;1584;105.0;4.0;USA;30250000.0;72077000.0;62986;150.0;96.0;0;188.0;848.0;808.0;482.0;3439;6.9;Good
4041;4042;99.0;0.0;USA;;2277396.0;29239;70.0;122.0;0;6.0;828.0;390.0;194.0;1936;7.2;Good
104;105;98.0;0.0;USA;160000000.0;60655503.0;82380;629.0;231.0;0;249.0;87000.0;2000.0;702.0;92456;5.6;Fair
868;869;110.0;0.0;USA;55000000.0;38553833.0;46239;155.0;62.0;0;81.0;1000.0;416.0;163.0;1752;6.8;Good
1508;1509;93.0;2.0;France;32000000.0;;28848;76.0;58.0;0;18.0;4000.0;820.0;324.0;5377;5.7;Fair
2215;2216;115.0;3.0;USA;20000000.0;29753944.0;90677;389.0;69.0;0;39.0;13000.0;481.0;254.0;14275;6.5;Good
4244;4245;77.0;0.0;UK;;;1355;21.0;33.0;275;0.0;846.0;366.0;260.0;2044;4.8;Fair
1438;1439;104.0;1.0;USA;35000000.0;39692139.0;84131;400.0;193.0;0;1000.0;24000.0;15000.0;939.0;41701;6.2;Good
739;740;105.0;1.0;USA;60000000.0;73648142.0;99043;643.0;199.0;0;212.0;1000.0;975.0;811.0;3697;5.8;Fair
31;32;195.0;3.0;USA;200000000.0;408992272.0;557489;1187.0;608.0;95000;1000.0;21000.0;4000.0;3000.0;30426;7.2;Good
4243;4244;100.0;0.0;USA;2100000.0;;6;1.0;1.0;14;0.0;749.0;354.0;338.0;1814;6.7;Good
2957;2958;86.0;5.0;USA;;17321573.0;3119;18.0;33.0;151;17.0;873.0;691.0;581.0;3646;4.5;Fair
1938;1939;117.0;2.0;USA;27000000.0;24944213.0;63459;185.0;62.0;3000;101.0;13000.0;852.0;743.0;16937;6.9;Good
1071;1072;140.0;1.0;South Korea;48000000.0;;491;16.0;10.0;115;92.0;1000.0;623.0;522.0;2704;2.7;Bad
1067;1068;81.0;1.0;USA;47000000.0;10539414.0;45729;176.0;178.0;0;39.0;13000.0;541.0;364.0;14619;4.7;Fair
1596;1597;90.0;0.0;USA;30000000.0;108360000.0;160321;178.0;59.0;0;176.0;531.0;461.0;460.0;2203;6.3;Good
92;93;98.0;0.0;USA;165000000.0;217387997.0;485430;492.0;288.0;33000;255.0;18000.0;953.0;759.0;20453;8.2;Excellent
4725;4726;79.0;1.0;USA;500000.0;30500882.0;42256;916.0;235.0;0;9.0;48.0;10.0;7.0;67;5.7;Fair
198;199;;1.0;UK;;;381;2.0;1.0;40;0.0;10000.0;570.0;159.0;11036;7.5;Good
3357;3358;119.0;2.0;USA;8550000.0;4992159.0;23823;201.0;66.0;713;422.0;861.0;499.0;422.0;3306;5.6;Fair
4876;4877;98.0;2.0;USA;250000.0;;450;10.0;4.0;0;3.0;337.0;168.0;104.0;694;6.2;Good
3949;3950;98.0;1.0;USA;650000.0;18469.0;34263;141.0;215.0;0;53.0;530.0;238.0;65.0;1038;6.5;Good
4767;4768;122.0;0.0;USA;;;292;16.0;1.0;353;406.0;358.0;317.0;152.0;1038;2.2;Bad
3486;3487;89.0;0.0;USA;7000000.0;15818967.0;13913;120.0;137.0;0;14.0;971.0;479.0;270.0;2517;4.0;Bad
2943;2944;144.0;1.0;UK;150000000.0;167007184.0;470501;2301.0;400.0;0;258.0;6000.0;1000.0;834.0;9125;8.0;Good
4362;4363;109.0;1.0;USA;1800000.0;3050934.0;2794;78.0;39.0;0;9.0;767.0;380.0;280.0;2187;7.3;Good
1005;1006;101.0;0.0;USA;50000000.0;25407250.0;54021;227.0;104.0;0;0.0;12000.0;898.0;764.0;15935;5.7;Fair
4074;4075;84.0;3.0;USA;3000000.0;10017041.0;8265;20.0;49.0;545;23.0;1000.0;927.0;706.0;4815;5.9;Fair
1176;1177;110.0;0.0;USA;41000000.0;116724075.0;187181;564.0;119.0;0;161.0;1000.0;418.0;196.0;1954;7.0;Good
4804;4805;80.0;0.0;Canada;500000.0;;4788;52.0;80.0;166;3.0;108.0;64.0;39.0;272;6.1;Good
286;287;119.0;0.0;USA;100000000.0;180011740.0;177725;1368.0;230.0;0;13000.0;1000.0;658.0;567.0;2776;5.7;Fair
4783;4784;103.0;0.0;USA;500000.0;23000.0;5931;58.0;88.0;0;365.0;907.0;365.0;49.0;1411;6.2;Good
1248;1249;106.0;2.0;USA;40000000.0;45500797.0;17443;56.0;25.0;694;323.0;472.0;47.0;0.0;519;6.0;Fair
3288;3289;91.0;1.0;USA;9000000.0;20035310.0;12324;173.0;64.0;580;0.0;3000.0;683.0;407.0;4409;4.9;Fair
3999;4000;129.0;0.0;Argentina;2000000.0;20167424.0;131831;231.0;262.0;33000;195.0;827.0;88.0;50.0;1044;8.2;Excellent
2843;2844;100.0;4.0;USA;12500000.0;48637684.0;16979;42.0;90.0;0;38.0;833.0;807.0;460.0;2800;6.1;Good
3299;3300;99.0;1.0;USA;9000000.0;4681503.0;29058;238.0;136.0;838;23.0;1000.0;710.0;471.0;2478;7.0;Good
2437;2438;98.0;0.0;USA;18000000.0;8000000.0;1400;41.0;25.0;346;28.0;372.0;262.0;102.0;927;5.0;Fair
1600;1601;112.0;0.0;South Africa;30000000.0;115646235.0;531737;1262.0;472.0;22000;662.0;2000.0;433.0;107.0;2639;8.0;Good
3548;3549;101.0;1.0;Canada;6900000.0;31607598.0;58366;160.0;224.0;10000;13.0;34000.0;924.0;261.0;35717;5.6;Fair
5010;5011;97.0;0.0;Canada;25000.0;2856622.0;11550;197.0;80.0;489;119.0;136.0;108.0;7.0;254;7.3;Good
